ven_id,ven_name,ven_lat,ven_lng,ven_category_name,ven_category_id,ven_address,neighbourhood,neighbourhood_lat,neigbourhood_long,borough
4e8d9dcdd5fbbbb6b3003c7b,Brookbanks Park,43.751976046055574,-79.33214044722958,Park,4bf58dd8d48988d163941735,Toronto,Parkwoods,43.75,-79.33,North York
4e13a489b0fb5dfdd0756c90,PetSmart,43.748639084843475,-79.33348827385937,Pet Store,4bf58dd8d48988d100951735,Ontario,Parkwoods,43.75,-79.33,North York
4cb11e2075ebb60cd1c4caad,Variety Store,43.75197441585782,-79.33311418516017,Food & Drink Shop,4bf58dd8d48988d1f9941735,29 Valley Woods Road,Parkwoods,43.75,-79.33,North York
4aec8a50f964a5207ac821e3,Armenian Kitchen,43.73107096414275,-79.30539020048727,Middle Eastern Restaurant,4bf58dd8d48988d115941735,1646 Victoria Park Ave,Victoria Village,43.73,-79.31,North York
4bb653b9941ad13a7c401fe3,Wigmore Park,43.731023438497964,-79.3107706628902,Park,4bf58dd8d48988d163941735,Toronto ON,Victoria Village,43.73,-79.31,North York
4bd7591b35aad13a78ae8ef3,Memories of Africa,43.72660188313635,-79.31242694132447,Grocery Store,4bf58dd8d48988d118951735,1733 Eglinton Ave. E (at Sloane Ave.),Victoria Village,43.73,-79.31,North York
5b4a14d52463d80044e8a48d,The Retreat Nail & Beauty Bar,43.726134,-79.312205,Nail Salon,4f04aa0c2fb6e1c99f3db0b8,"1700 Eglinton Ave. E., Unit A6 (Sloane Ave)",Victoria Village,43.73,-79.31,North York
5092fe87e4b0476c6e7375e2,Regent Park Aquatic Centre,43.6606003130796,-79.36139162915349,Pool,4bf58dd8d48988d15e941735,640 Dundas St. East (at Sumach St.),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
5619551a498e9e35fce2256b,Sumach Espresso,43.65813540553308,-79.35951549011845,Coffee Shop,4bf58dd8d48988d1e0931735,118 Sumach St (at Shuter St),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
505af105e4b0df441225430b,Daniels Spectrum,43.66013679276432,-79.36180783336452,Performing Arts Venue,4bf58dd8d48988d1f2931735,585 Dundas St. East (btwn Regent & Sumach),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
505bacb2e4b0474d876eb78c,Paintbox Bistro,43.660050475903624,-79.36285470971839,Restaurant,4bf58dd8d48988d1c4941735,555 Dundas St E (Sackville St),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
566e1294498e3f6629006bc3,Dominion Pub and Kitchen,43.65691857501867,-79.35896684476664,Pub,4bf58dd8d48988d11b941735,500 Queen Street East,"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4b683ef1f964a520d66d2be3,Thai To Go,43.663418,-79.36071,Thai Restaurant,4bf58dd8d48988d149941735,452 Gerrard Street East (btw River & Sumach),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
502652fee4b0e6861eab1f29,Merchants of Green Coffee,43.659916,-79.353963,Coffee Shop,4bf58dd8d48988d1e0931735,2 Matilda St,"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
5612b1cc498e3dd742af0dc8,Impact Kitchen,43.65636850543279,-79.35697968750694,Restaurant,4bf58dd8d48988d1c4941735,573 King St E (at St Lawrence St),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4ae06ddef964a5203b7f21e3,Toronto Humane Society,43.65769802359708,-79.3565828808708,Animal Shelter,4e52d2d203646f7c19daa8ae,11 River St. (Queen St. E),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4ada57aff964a520972121e3,Sukhothai,43.658444465539525,-79.36568085121628,Thai Restaurant,4bf58dd8d48988d149941735,274 Parliament St (btwn Coatsworth St. & Shuter St.),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
54d37e23498e5e29bcb35362,ODIN Cafe + Bar,43.656738544928054,-79.35650305267754,Café,4bf58dd8d48988d16d941735,514 King St E (at River St),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4b845382f964a520dc2e31e3,Mercedes-Benz Downtown,43.66143119502613,-79.35658517368444,Auto Dealership,4eb1c1623b7b52c0e1adc2ec,761 Dundas Street East,"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4ee1490961aff90fe37e76da,Qi sushi,43.66255180762697,-79.36425843422568,Sushi Restaurant,4bf58dd8d48988d1d2941735,358 Gerrard St.E.,"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
50899387e4b055a756b254fc,I Love Churros,43.65836361668554,-79.36558277878224,Food Truck,4bf58dd8d48988d1cb941735,1017 Dufferin St (Bloor St West),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4ad8d551f964a5201f1521e3,Vistek,43.65704640025721,-79.35966695607046,Electronics Store,4bf58dd8d48988d122951735,496 Queen St E (at Sumach),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4b8acdfdf964a520378232e3,The Beer Store,43.657773,-79.3574632,Beer Store,5370f356bcbc57f1066c94c2,28 River Street (Queen St E),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
55fe0dd0498ed5a5423b6d17,Shoppers Drug Mart,43.660204,-79.361332,Pharmacy,4bf58dd8d48988d10f951735,"593 Dundas St E, South Tower (at Regent Park Blvd)","Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
53a4b638498edce8c3153b44,Regent Park,43.660382523982804,-79.36181011844143,Park,4bf58dd8d48988d163941735,620 Dundas St E. (Dundas St E and Sumach St),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
579400f5498eeafb24897f10,Wendy’s,43.660403362711776,-79.36062902212149,Fast Food Restaurant,4bf58dd8d48988d16e941735,615 Dundas Street East (Sumach),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
5a6e0c605f68b93a075d0bc1,Tim Hortons,43.659935,-79.3613063,Restaurant,4bf58dd8d48988d1c4941735,69 Regent Park Blvd (at Dundas St E),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4b2cf78cf964a52077cb24e3,Savoury Grounds,43.656820970004496,-79.3589698353747,Coffee Shop,4bf58dd8d48988d1e0931735,481 Queen St. East (Sumach St),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4bca9a2e0687ef3b3e78dccc,Tim Hortons,43.6599299,-79.3659798,Coffee Shop,4bf58dd8d48988d1e0931735,335 Parliament St (Dundas st e),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4cbc6a0f76ad9c7460ebe7cb,FreshCo,43.65955158801718,-79.36585713164392,Grocery Store,4bf58dd8d48988d118951735,325 Parliament St (at Dundas St),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
4dc59e341fc72e86376488aa,Bark Place Hotel and Spaw,43.6614665351425,-79.3575533174757,Pet Store,4bf58dd8d48988d100951735,738 Dundas St. East (River),"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
5834fe851470b05200a49735,Wine Rack,43.656573,-79.356928,Wine Shop,4bf58dd8d48988d119951735,Toronto ON,"Regent Park, Harbourfront",43.66,-79.36,Downtown Toronto
52ae475e498e1d931502955d,Krystos,43.71851626753137,-79.45585522412502,Greek Restaurant,4bf58dd8d48988d10e941735,22-3200 Dufferin Street,"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
4b5f1f11f964a52047a729e3,Yuki Japanese Restaurant,43.72060971477955,-79.45611946822187,Sushi Restaurant,4bf58dd8d48988d1d2941735,3259 Dufferin St.,"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
558371db498eb7238b3505eb,Caffè Demetre,43.72017931839126,-79.45621855808365,Dessert Shop,4bf58dd8d48988d1d0941735,3250 Dufferin St,"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
4b9580fef964a52044a634e3,Mary Brown's Famous Chicken,43.71830860417442,-79.45570632677568,Fried Chicken Joint,4d4ae6fc7a7b7dea34424761,3199 Dufferin St. (at Samor Rd.),"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
4b3a6056f964a520ec6525e3,Tim Hortons,43.7163463,-79.4468676,Coffee Shop,4bf58dd8d48988d1e0931735,700 Lawrence Ave West Lawrence Square Mall (Allen Rd),"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
4cec65d10acea35dae19deae,KFC,43.7166,-79.447,Fast Food Restaurant,4bf58dd8d48988d16e941735,700 Lawrence Avenue West,"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
4e07a86445ddb2875c4c4698,Harbour Star Boat Cruise,43.71811392837763,-79.45023467228003,Moving Target,4f2a23984b9023bd5841ed2c,235 Queens Quay W,"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
4bc781946501c9b6bc8f3e29,Fortinos,43.716656,-79.447257,Grocery Store,4bf58dd8d48988d118951735,700 Lawrence Ave W,"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
4e72425a1495e4ca143b9fb8,McDonald's,43.7166442,-79.4467163,Fast Food Restaurant,4bf58dd8d48988d16e941735,700 Lawrence Ave W,"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
4fd50899e4b06a2d8dcf4842,Lawrence Square Food Court,43.717020075306216,-79.44724020082508,Food Court,4bf58dd8d48988d120951735,Canada,"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
4c78303d566db60c96cc400e,The Source,43.716624,-79.44738,Electronics Store,4bf58dd8d48988d122951735,"700 Lawrence Ave W, Unit 120","Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
51db0e41498ed7f9ea7db94e,Fit4Less,43.716656,-79.447257,Gym,4bf58dd8d48988d176941735,"700 Lawrence Ave W, 235","Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
570fc884498eb17fdbfdff10,HomeSense,43.716651,-79.447267,Furniture / Home Store,4bf58dd8d48988d1f8941735,700 Lawrence Avenue West,"Lawrence Manor, Lawrence Heights",43.72,-79.45,North York
